来源平台,店铺,商品标题,价格,评论人,评价星级,评价内容,评论时间,商品属性,商品ID,点赞/有用数,追评内容,追评时间,好评度,评价关键词,评论类型
京东,FILA旗舰店,FILA斐乐连帽卫衣男女同款春秋加绒宽松情侣款,615,4**3,5星,做工细致面料针脚密实均匀，领口袖口都有包边处理，穿了一个多月没有开线的地方。,2025/12/28,颜色:白色;尺码:L,850360276292,,,,好评,"百搭好穿,纯棉透气,面料舒适",默认评价
京东,安踏旗舰店,安踏运动短裤女2026夏季新款速干宽松透气健身五分裤,100,q***s,4星,物流超级快昨天下单今天就收到了，拆开包装没有异味直接穿上了，大小正合适。,2026/3/6,颜色:卡其;尺码:L,984154552224,,,,好评,"显气质,纯棉透气,百搭好穿",默认评价
京东,李宁旗舰店,李宁运动长裤男夏季薄款透气束脚跑步休闲卫裤,177,u***s,5星,手感真的很好摸起来软软的但又不会松松垮垮，洗了两次版型还是一样挺括。,2025/12/8,颜色:白色;尺码:L,673011550093,23.0,,,好评,"百搭好穿,面料舒适,做工好",默认评价
京东,FILA旗舰店,FILA斐乐官方男子运动鞋2026夏季新款透气网面休闲跑步鞋,846,q***p,3星,整体做工没什么大问题但鞋头的型有点偏宽了，我的脚属于偏瘦的那种穿厚袜子的话会好一些。,2025/7/14,颜色:黑白;尺码:42,412698495027,11.0,,,中评,"舒适透气,缓震好,尺码标准",追加评论
京东,李宁旗舰店,李宁中国李宁卫衣男女同款宽松潮流刺绣圆领套头衫,322,3**9,5星,做工细致面料针脚密实均匀，领口袖口都有包边处理，穿了一个多月没有开线的地方。,2025/9/25,颜色:卡其;尺码:L,127823906222,35.0,,,好评,"做工好,显气质,纯棉透气",默认评价
京东,安踏旗舰店,安踏C37 4.0男鞋软底缓震运动鞋2026夏季新款网面透气跑步鞋,491,匿名买家,3星,网面部分确实透气但是材质看着偏薄用手捏了一下感觉不太耐穿的样子，具体能穿多久还要再观察看看。,2026/4/20,颜色:黑白;尺码:42,818112050484,,,,中评,"尺码标准,缓震好,舒适透气",有图评价
京东,中国黄金旗舰店,中国黄金足金黄金耳钉女款小巧精致花朵造型金耳饰,1657,2**1,5星,买给老婆当结婚纪念日礼物的她收到以后喜欢的不得了，天天戴在手上舍不得摘下来款式大方又精致。,2026/1/15,重量:约8g;材质:足金999,558944540627,25.0,,,好评,"足金999,做工精致,克重足",默认评价
京东,巴拉巴拉品牌官方旗舰店,巴拉巴拉儿童卫衣春秋款加绒保暖圆领套头衫,74,匿名买家,4星,款式很时尚跟广告图里一模一样，孩子下周出游非要穿这身去说班上同学都夸好看。,2026/4/4,颜色:绿色;尺码:140cm,214544569702,,,,好评,"A类面料,穿着舒适,纯棉柔软",默认评价
京东,雅鹿官方旗舰店,雅鹿四件套纯棉100%全棉床上用品床单被套被罩,264,黄**瑶,3星,枕头的软硬度对我来说偏软了习惯睡硬枕的人可能会不太适应，不过回弹速度确实慢支撑感还是有的。,2026/6/6,颜色:卡其;尺码:L,823337235521,27.0,,,中评,"做工精细,性价比高,保暖好",默认评价
京东,安踏旗舰店,安踏水花6代篮球鞋男夏季透气低帮实战球鞋防滑耐磨,569,匿名买家,5星,鞋子的包裹感做得很好脚在鞋里不会左右滑动，后跟的支撑也到位平时走路和慢跑都能兼顾。,2026/1/28,颜色:深黑;尺码:41,133085525876,60.0,,,好评,"舒适透气,缓震好,尺码标准",默认评价
京东,李宁旗舰店,李宁韦德之道全城12代篮球鞋男专业比赛实战战靴,864,5**4,4星,从开箱到上脚整体体验都很满意鞋子没有任何异味，做工精细看不到溢胶和线头品控值得认可。,2025/9/23,颜色:白红;尺码:39,969852953284,1.0,,,好评,"防滑耐磨,缓震好,尺码标准",有图评价
京东,adidas官方旗舰店,adidas阿迪达斯三叶草SUPERSTAR金标贝壳头经典运动鞋男女,783,8**1,5星,配色比图片上还要好看鞋型显脚瘦搭配牛仔裤和运动裤都很好看，朋友看到了也问我在哪里买的。,2026/5/14,颜色:白红;尺码:39,432482732368,,,,好评,"舒适透气,缓震好,防滑耐磨",默认评价
京东,雅鹿官方旗舰店,雅鹿羽绒服女中长款加厚2026新款过膝连帽大毛领取暖外套,688,t***j,5星,羽绒马甲穿在冲锋衣里面完全看不出来轻薄但是保暖效果真的好，零度左右的天气多穿一件就够了。,2025/7/23,颜色:灰色;尺码:XXL,500579549794,18.0,洗了两次被子还是一样蓬松没有板结的情况发生。,2025/9/17,好评,"保暖好,不掉色,做工精细",默认评价
京东,安踏旗舰店,安踏冠军跑鞋2代PRO氮科技碳板竞速马拉松跑步鞋,884,r***i,5星,这已经是我第三次回购这个系列了穿坏了就买新的，说明我是真的认可这个脚感和质量。,2026/2/4,颜色:黑白;尺码:42,240878084854,,,,好评,"缓震好,尺码标准,舒适透气",追加评论
京东,雅鹿官方旗舰店,雅鹿枕头记忆棉慢回弹护颈椎助睡眠单人枕芯,155,匿名买家,5星,四件套的面料手感摸起来非常顺滑是纯棉的肤感，下水洗了第一遍没有掉色烘干以后也没有缩水变形。,2026/4/5,颜色:卡其;尺码:L,268733049370,10.0,,,好评,"保暖好,不掉色,面料好",默认评价
京东,安踏旗舰店,安踏霸道系列休闲鞋男2026新款潮流厚底板鞋百搭,260,b***e,5星,鞋底软硬适中不会太软没了支撑也不会太硬硌脚，踩下去弹性反馈很及时走长路脚也不酸。,2026/6/27,颜色:黑白;尺码:42,387529105099,23.0,,,好评,"尺码标准,缓震好,百搭",有图评价
京东,COACH蔻驰官方旗舰店,COACH蔻驰男士双肩包商务旅行背包大容量轻便电脑包,2830,7***m,4星,送妈妈的生日礼物她特别喜欢说这个颜色很大气不挑人，背上显得气质都不一样了回头再给她买个钱包凑一套。,2025/11/10,颜色:奶茶色,623831895989,12.0,背了大半个月了目前没有任何问题越看越喜欢。,2025/12/22,好评,"五金精致,皮质好,容量大",默认评价
京东,安踏旗舰店,安踏水花6代篮球鞋男夏季透气低帮实战球鞋防滑耐磨,353,胡**晴,5星,配色比图片上还要好看鞋型显脚瘦搭配牛仔裤和运动裤都很好看，朋友看到了也问我在哪里买的。,2026/5/3,颜色:深黑;尺码:41,297807853135,,跑步穿了一段时间了缓震性能保持得不错没有衰减的感觉。,2026/6/22,好评,"缓震好,百搭,防滑耐磨",默认评价
京东,李宁旗舰店,李宁韦德之道全城12代篮球鞋男专业比赛实战战靴,879,郑**芳,3星,鞋帮的高度比我想象中要矮一点脚踝的保护感没有到位的程度，习惯穿高帮的人可能会觉得不够。,2026/5/11,颜色:灰蓝;尺码:43,783713849849,,,,中评,"防滑耐磨,缓震好,舒适透气",默认评价
京东,COACH蔻驰官方旗舰店,COACH蔻驰经典标志帆布托特包女大容量通勤单肩手提包,1928,q***u,5星,没想到实物比图片还有质感朋友看到了还以为是去专柜买的，我说了价格以后她立马也要去下单一个。,2026/4/25,颜色:经典棕,312487987012,20.0,,,好评,"容量大,正品,百搭好看",默认评价
京东,雅鹿官方旗舰店,雅鹿羽绒服男短款2026冬季新款轻薄保暖连帽白鸭绒外套,580,匿名买家,5星,羽绒马甲叠起来完全不占地方出差带着很方便，早晚温差大的时候拿出来穿正好。,2025/8/17,颜色:卡其;尺码:L,968581990325,55.0,,,好评,"不掉色,面料好,保暖好",有图评价
京东,李宁旗舰店,李宁运动短袖男夏速干T恤透气吸汗健身跑步训练上衣,126,t***v,5星,这件衣服走线非常工整，里外都翻了一遍没有找到任何多余的线头，品控很有水准。,2026/6/4,颜色:卡其;尺码:L,596960759434,32.0,,,好评,"显气质,做工好,面料舒适",追加评论
京东,雅鹿官方旗舰店,雅鹿枕头记忆棉慢回弹护颈椎助睡眠单人枕芯,116,匿名买家,5星,羽绒裤穿上去的第一感觉就是轻活动起来完全没有负重感，现在早晚遛弯穿着腿不冷了。,2026/5/14,颜色:灰色;尺码:XXL,239184817924,,,,好评,"做工精细,面料好,性价比高",有图评价
京东,COACH蔻驰官方旗舰店,COACH蔻驰皮带男士头层牛皮商务休闲自动扣腰带,1158,匿名买家,4星,皮带整体还可以就是皮面有一点点偏硬系了两周以后软了一些，将就着用。,2025/11/22,颜色:深棕;长度:120cm,519478094257,17.0,,,中评,"扣头精致,百搭,手感好",默认评价
京东,巴拉巴拉品牌官方旗舰店,巴拉巴拉男童短袖T恤2026夏季新款纯棉透气百搭上衣,52,8**7,5星,幼儿园开学给娃买的新衣服，纯棉面料很柔软，孩子好动也不觉得束缚，领口做了包边不会磨脖子。,2025/12/10,颜色:绿色;尺码:140cm,194943220705,,,,好评,"穿着舒适,A类面料,做工精致",默认评价
京东,史努比官方旗舰店,史努比毛绒玩具正版授权史努比公仔抱枕玩偶送女生,126,李**宇,3星,毛摸起来还可以就是有一点点浮毛用手撸了一下掉了不少但洗了以后好多了。,2026/2/23,款式:经典款;高度:45cm,185595979304,28.0,,,中评,"做工精致,正版授权,不掉毛",默认评价
京东,安踏旗舰店,安踏C37 4.0男鞋软底缓震运动鞋2026夏季新款网面透气跑步鞋,305,匿名买家,4星,给老爸买的散步鞋他穿上说很轻很舒服，鞋底软但是有支撑老年人穿着走走路非常合适。,2026/1/7,颜色:灰蓝;尺码:43,199302372132,15.0,,,好评,"尺码标准,百搭,防滑耐磨",默认评价
京东,巴拉巴拉品牌官方旗舰店,巴拉巴拉女童防晒帽夏季遮阳帽UV防护儿童渔夫帽,27,胡**婷,5星,面料结实耐磨，穿了一个多季节还跟新的一样，这一点比很多牌子都强。,2025/7/10,颜色:黑色;尺码:XL,820460315409,5.0,,,好评,"纯棉透气,显气质,做工好",追加评论
京东,adidas官方旗舰店,adidas阿迪达斯三叶草SUPERSTAR金标贝壳头经典运动鞋男女,793,1***c,5星,码数非常标准平时穿什么码买什么码刚刚好，鞋头空间充足脚趾没有任何挤压的感觉。,2026/5/10,颜色:深黑;尺码:41,934202706922,,,,好评,"舒适透气,缓震好,百搭",默认评价
京东,海澜之家旗舰店,海澜之家休闲长裤男2026夏季薄款免烫直筒修身西裤,184,1***d,5星,这件衣服走线非常工整，里外都翻了一遍没有找到任何多余的线头，品控很有水准。,2025/12/26,颜色:白色;尺码:L,916620637297,,,,好评,"百搭好穿,显气质,做工好",默认评价
京东,雅鹿官方旗舰店,雅鹿大豆纤维被冬被加厚保暖被芯双人春秋被子,263,杨**云,5星,保暖内衣洗了几次了没有起球弹性保持得不错，穿了一个冬天还是跟新买的时候差不多。,2026/5/11,颜色:灰色;尺码:XXL,212994591807,13.0,,,好评,"性价比高,保暖好,做工精细",默认评价
京东,安踏旗舰店,安踏C37 4.0男鞋软底缓震运动鞋2026夏季新款网面透气跑步鞋,373,0**0,5星,这双鞋比我预想的要轻很多上脚几乎没有负重感，跑了五公里下来膝盖也没有之前那么酸痛了。,2025/8/28,颜色:黑白;尺码:42,121563979219,,,,好评,"百搭,缓震好,舒适透气",默认评价
京东,FILA旗舰店,FILA FUSION斐乐潮流复古运动鞋女2026新款厚底增高老爹鞋,522,徐**阳,5星,鞋舌和鞋帮的内衬都是软质的光脚穿着也不会磨脚背和后跟，是一双到手就能直接穿出去跑的鞋。,2025/7/13,颜色:纯白;尺码:40,425912071588,45.0,,,好评,"缓震好,舒适透气,尺码标准",默认评价
京东,李宁旗舰店,李宁运动长裤男夏季薄款透气束脚跑步休闲卫裤,225,4***k,4星,在店里看过同款的要贵一百多块钱，网上下单隔天就到了，衣服质量和专柜的一样好，棉料非常亲肤柔软。,2026/2/15,颜色:白色;尺码:L,776656199605,56.0,,,好评,"做工好,面料舒适,百搭好穿",追加评论
京东,海澜之家旗舰店,海澜之家休闲长裤男2026夏季薄款免烫直筒修身西裤,233,2***u,3星,整体还行吧和描述的基本上一致，不过面料没有想象中那么厚实，春秋穿还行冬天估计得里面加衣服才行。,2025/11/28,颜色:白色;尺码:L,940150505152,22.0,又洗了两水来追评没有缩水变形，现在有点后悔只买了一件。,2026/1/25,中评,"百搭好穿,纯棉透气,显气质",默认评价
京东,史努比官方旗舰店,史努比睡衣男女同款纯棉长袖春秋家居服套装,160,张**琪,4星,在店里看过同款的要贵一百多块钱，网上下单隔天就到了，衣服质量和专柜的一样好，棉料非常亲肤柔软。,2025/7/30,颜色:黑色;尺码:XL,180176452215,,,,好评,"纯棉透气,做工好,百搭好穿",默认评价
京东,史努比官方旗舰店,史努比帆布鞋男女同款百搭低帮休闲鞋,179,g***v,5星,配色比图片上还要好看鞋型显脚瘦搭配牛仔裤和运动裤都很好看，朋友看到了也问我在哪里买的。,2026/2/15,颜色:黑白;尺码:42,629761328571,13.0,,,好评,"舒适透气,缓震好,防滑耐磨",有图评价
京东,FILA旗舰店,FILA斐乐官方男子运动鞋2026夏季新款透气网面休闲跑步鞋,546,6***h,5星,之前一直穿别的牌子这次换这个试了一次就回不去了，同样的价位这个舒适度明显高出一截。,2026/5/2,颜色:白红;尺码:39,111381924686,16.0,,,好评,"百搭,防滑耐磨,缓震好",追加评论
京东,李宁旗舰店,李宁超轻21代男鞋2026新款夏季透气超轻跑鞋运动鞋,402,x***s,5星,这已经是我第三次回购这个系列了穿坏了就买新的，说明我是真的认可这个脚感和质量。,2026/3/26,颜色:纯白;尺码:40,636721407556,,,,好评,"舒适透气,尺码标准,防滑耐磨",追加评论
京东,巴拉巴拉品牌官方旗舰店,巴拉巴拉男童牛仔裤2026新款弹力修身百搭裤子,141,2**7,5星,儿子试穿了一下就不肯脱下来，他说穿着比校服舒服多了，看了一下衣服标签确实是A类面料，给小孩穿完全放心。,2025/10/1,颜色:粉色;尺码:120cm,647562551817,4.0,,,好评,"A类面料,孩子喜欢,做工精致",追加评论
京东,adidas官方旗舰店,adidas阿迪达斯三叶草SUPERSTAR金标贝壳头经典运动鞋男女,881,匿名买家,5星,鞋后跟不磨脚这一点太重要了，穿新鞋第一天上脚跑了一圈一点不适感都没有。,2025/8/3,颜色:黑白;尺码:42,743331403682,41.0,,,好评,"百搭,舒适透气,尺码标准",有图评价
京东,中国黄金旗舰店,中国黄金投资金条10g/20g/50g/100g AU9999,46067,3***r,3星,金子本身的成色是对的但设计上可能偏保守了一些，适合日常通勤戴如果是重要的场合戴出去可能不太突出。,2025/8/25,重量:约8g;材质:足金999,737538738892,28.0,,,中评,"款式大方,克重足,有证书",默认评价
京东,海澜之家旗舰店,海澜之家皮带头层牛皮男士自动扣休闲百搭腰带,106,t***i,4星,皮带整体还可以就是皮面有一点点偏硬系了两周以后软了一些，将就着用。,2026/2/13,颜色:黑色;长度:110cm,966510384273,45.0,,,中评,"手感好,百搭,扣头精致",默认评价
京东,adidas官方旗舰店,adidas阿迪达斯三叶草运动长裤女宽松束脚休闲卫裤,461,u***o,4星,款式很时尚跟广告图里一模一样，朋友看了都问我在哪买的。,2025/12/22,颜色:白色;尺码:L,886551078194,52.0,,,好评,"面料舒适,纯棉透气,做工好",默认评价
京东,adidas官方旗舰店,adidas阿迪达斯运动短袖T恤男夏季新款速干透气跑步上衣,179,匿名买家,5星,在店里看过同款的要贵一百多块钱，网上下单隔天就到了，衣服质量和专柜的一样好，棉料非常亲肤柔软。,2025/12/20,颜色:白色;尺码:L,659501161334,,,,好评,"显气质,纯棉透气,百搭好穿",默认评价
京东,史努比官方旗舰店,史努比睡衣男女同款纯棉长袖春秋家居服套装,147,吴**悦,5星,这家的版型很好不会袖子特别长身子又短，穿上去很精神利落。,2025/10/20,颜色:灰色;尺码:M,537978641443,8.0,穿了好几次了来追评一下洗过以后没怎么掉色，这个质量对得起价格。,2025/11/9,好评,"纯棉透气,做工好,显气质",追加评论
京东,中国黄金旗舰店,中国黄金足金转运珠手链女款本命年红绳编手串,266,b***i,5星,金价透明而且比较公道在这个价格基础上做工还很考究，比去实体金店买方便多了也实惠多了。,2025/10/26,重量:约3g;材质:5G黄金,273748140201,57.0,,,好评,"克重足,做工精致,足金999",默认评价
京东,巴拉巴拉品牌官方旗舰店,巴拉巴拉女童打底裤纯棉A类婴幼儿安全舒适九分裤,43,j***a,4星,给两个娃各买了一件兄妹装，穿上以后拍照发朋友圈收获了好多赞，洗了两次以后颜色还是一样鲜艳。,2025/10/25,颜色:绿色;尺码:140cm,705824576198,18.0,,,好评,"做工精致,纯棉柔软,A类面料",默认评价
京东,雅鹿官方旗舰店,雅鹿羽绒裤男外穿冬季加厚保暖高腰宽松休闲裤,315,1***g,5星,羽绒服虽然是短款的但是充绒量很足，袖子和领口都有收口设计防风效果很好适合北方的初冬。,2026/5/26,颜色:军绿;尺码:XL,960227251368,,,,好评,"做工精细,性价比高,保暖好",默认评价
京东,史努比官方旗舰店,史努比联名T恤男女同款夏季纯棉短袖动漫印花上衣,145,匿名买家,3星,刚拆开的时候有一点点新衣服的味道挂在阳台上晾了一天才穿的，洗了一次以后基本没味道了。,2026/4/23,颜色:黑色;尺码:XL,685637151849,35.0,,,中评,"纯棉透气,面料舒适,显气质",默认评价
京东,adidas官方旗舰店,adidas阿迪达斯运动背包双肩包男女大容量旅行书包,203,5***n,5星,拿到手的第一感觉就是比照片上还要好看皮质摸上去非常柔软细腻，五金件拿在手里很有分量感背出去不掉档次。,2025/12/30,颜色:米白色,947924690683,29.0,,,好评,"百搭好看,正品,皮质好",默认评价
京东,雅鹿官方旗舰店,雅鹿大豆纤维被冬被加厚保暖被芯双人春秋被子,346,匿名买家,5星,床单被罩的花色跟图片完全一致没有偏色，铺在床上整个卧室的氛围都提升了做工方面也没有毛刺。,2026/5/21,颜色:卡其;尺码:L,127476928071,,,,好评,"面料好,保暖好,性价比高",默认评价
京东,中国黄金旗舰店,中国黄金足金999黄金戒指男女款活圈可调节指环,2048,马**雨,5星,收到以后特意拿去金店找人验了一下确实是足金999没有任何问题，而且工艺比店里同等克重的还要精细。,2025/10/18,重量:约10g;材质:足金999,232249761753,58.0,,,好评,"款式大方,克重足,足金999",有图评价
京东,FILA旗舰店,FILA斐乐官方男子运动鞋2026夏季新款透气网面休闲跑步鞋,538,4***s,5星,后跟的中底科技确实有效果特意跑了一次长距离，膝盖和脚踝的压力明显比之前穿的鞋要小很多。,2026/4/2,颜色:黑白;尺码:42,237172395630,21.0,,,好评,"百搭,防滑耐磨,缓震好",默认评价
京东,FILA旗舰店,FILA斐乐连帽卫衣男女同款春秋加绒宽松情侣款,490,何**瑶,5星,趁着活动买的比平时便宜了好几十块钱，质量一点没打折扣，棉质手感非常柔软细腻。,2026/1/9,颜色:灰色;尺码:M,745896634794,17.0,,,好评,"纯棉透气,面料舒适,显气质",默认评价
京东,COACH蔻驰官方旗舰店,COACH蔻驰女士钱包经典老花长款三折钱包零钱包,1215,匿名买家,5星,和专柜对比过一模一样但便宜了好几百块钱，自己用或者送人都很有面子。,2025/11/17,颜色:黑色,240471988424,,,,好评,"卡位多,正品,手感好",默认评价
京东,adidas官方旗舰店,adidas阿迪达斯三叶草SUPERSTAR金标贝壳头经典运动鞋男女,666,王**雨,4星,鞋子的包裹感做得很好脚在鞋里不会左右滑动，后跟的支撑也到位平时走路和慢跑都能兼顾。,2026/1/2,颜色:白红;尺码:39,843249423423,46.0,,,好评,"百搭,舒适透气,尺码标准",默认评价
京东,史努比官方旗舰店,史努比儿童防晒帽夏季遮阳帽UPF50+户外渔夫帽,40,7***z,3星,穿了不到一个星期袖子的接缝处就开了线后来又发现肩膀上也有脱线的现象，质量确实让人不放心。,2026/2/24,颜色:藏蓝;尺码:XXL,836270725468,,,,差评,"做工好,面料舒适,百搭好穿",有图评价
京东,海澜之家旗舰店,海澜之家短袖T恤男2026夏季新款纯棉免烫商务休闲翻领polo衫,192,匿名买家,5星,手感真的很好摸起来软软的但又不会松松垮垮，洗了两次版型还是一样挺括。,2025/7/14,颜色:黑色;尺码:XL,880753922290,21.0,穿了好几次了来追评一下洗过以后没怎么掉色，这个质量对得起价格。,2025/9/5,好评,"百搭好穿,显气质,做工好",追加评论
京东,FILA旗舰店,FILA FUSION斐乐潮流复古运动鞋女2026新款厚底增高老爹鞋,641,林**静,5星,鞋子防滑做得非常到位雨后在湿滑的路面上跑了三公里没有一点打滑的现象，安全性很让人放心。,2025/9/23,颜色:黑白;尺码:42,903330520433,,,,好评,"舒适透气,缓震好,百搭",有图评价
京东,FILA旗舰店,FILA斐乐运动短裤女2026夏季新款轻薄透气宽松休闲五分裤,344,j***d,5星,回购了好几件了家里大人小孩都穿这个牌子，品质一向稳定。,2025/12/9,颜色:藏蓝;尺码:XXL,910601318102,,,,好评,"百搭好穿,纯棉透气,做工好",追加评论
京东,李宁旗舰店,李宁超轻21代男鞋2026新款夏季透气超轻跑鞋运动鞋,439,7***j,5星,这双鞋比我预想的要轻很多上脚几乎没有负重感，跑了五公里下来膝盖也没有之前那么酸痛了。,2025/11/27,颜色:白红;尺码:39,278059076594,26.0,跑步穿了一段时间了缓震性能保持得不错没有衰减的感觉。,2025/12/28,好评,"缓震好,尺码标准,舒适透气",默认评价
京东,中国黄金旗舰店,中国黄金黄金手链女款竹节链百搭细款足金手饰,2525,3***v,5星,买给老婆当结婚纪念日礼物的她收到以后喜欢的不得了，天天戴在手上舍不得摘下来款式大方又精致。,2026/3/18,重量:约8g;材质:足金999,175194360297,30.0,拿去复检了一次师傅说是真的足金这下彻底放心了。,2026/5/12,好评,"有证书,足金999,做工精致",有图评价
京东,安踏旗舰店,安踏冠军跑鞋2代PRO氮科技碳板竞速马拉松跑步鞋,762,匿名买家,4星,鞋子的包裹感做得很好脚在鞋里不会左右滑动，后跟的支撑也到位平时走路和慢跑都能兼顾。,2025/10/15,颜色:纯白;尺码:40,314335543969,15.0,,,好评,"防滑耐磨,百搭,舒适透气",追加评论
